customer_id,first_name,last_name,age,gender,marital_status,education_level,occupation,annual_income,monthly_expenses,credit_score,num_dependents,years_employed,city,state,phone_number,email,has_existing_loan,num_credit_cards,registration_date,income_tier,savings_ratio,age_group
CUST00001,Nisha,Patel,59,Female,Married,Diploma,Nurse,149488.15,19238.13,836.0,5,27.0,Mumbai,Maharashtra,9492756851,sachin.mehta249@example.com,False,0,2023-12-07,Low,-0.5443,51-60
CUST00002,Rekha,Dubey,49,Male,Married,Bachelor'S,Designer,213563.41,29140.44,411.0,4,7.0,Bengaluru,Karnataka,9542600470,kiran.dubey141@example.com,False,3,2016-06-01,Low,-0.6374,41-50
CUST00003,Suresh,Shah,35,Female,Married,Phd,Engineer,159992.45,24638.63,710.0,4,7.0,Chennai,Tamil Nadu,9378965689,suresh.tiwari817@example.com,False,4,2020-10-29,Low,-0.848,31-40
CUST00004,Kavya,Rao,63,Male,Married,Bachelor'S,Manager,172499.91,25889.76,505.0,1,18.0,Hyderabad,Telangana,9267200433,lakshmi.iyer46@example.com,True,2,2022-06-11,Low,-0.801,60+
CUST00005,Suresh,Malhotra,28,Female,Married,Master'S,Designer,101097.94,20823.64,484.0,0,37.0,Hyderabad,Telangana,9425958941,naveen.kumar62@example.com,False,1,2021-09-30,Low,-1.4717,21-30
CUST00006,Sachin,Singh,41,Other,Single,Bachelor'S,Lawyer,99390.23,14992.62,681.0,0,28.0,Delhi,Delhi,9111334226,swati.mishra131@example.com,True,4,2021-08-16,Low,-0.8102,41-50
CUST00007,Ananya,Tiwari,59,Female,Single,Master'S,Professor,115870.7,20332.77,795.0,2,22.0,Mumbai,Maharashtra,9100099158,rahul.singh320@example.com,True,7,2017-06-28,Low,-1.1057,51-60
CUST00008,Priya,Verma,39,Female,Single,High School,Analyst,153379.68,33257.75,678.0,1,31.0,Jaipur,Rajasthan,9661906534,priya.singh599@example.com,False,4,2016-03-12,Low,-1.602,31-40
CUST00009,Ravi,Nair,43,Male,Single,Master'S,Engineer,83283.92,11526.21,346.0,4,9.0,Mumbai,Maharashtra,9975507381,vikram.iyer447@example.com,False,4,2019-06-08,Low,-0.6608,41-50
CUST00010,Naveen,Joshi,31,Female,Married,Bachelor'S,Analyst,106216.25,17582.59,850.0,0,26.0,Lucknow,Uttar Pradesh,9914211391,rohan.dubey526@example.com,True,3,2015-02-07,Low,-0.9864,31-40
CUST00011,Sneha,Malhotra,31,Female,Single,Phd,Engineer,81944.1,10359.95,827.0,3,0.0,Kolkata,West Bengal,9246351498,amit.dubey983@example.com,True,1,2021-01-13,Low,-0.5171,31-40
CUST00012,Ravi,Dubey,44,Female,Single,Bachelor'S,Designer,105811.12,20639.16,803.0,3,38.0,Bengaluru,Karnataka,9469243620,sachin.nair668@example.com,False,7,2024-07-23,Low,-1.3407,41-50
CUST00013,Ravi,Iyer,56,Female,Single,High School,Doctor,46602.16,7868.42,321.0,3,28.0,Bengaluru,Karnataka,9407908620,naveen.kumar773@example.com,True,2,2020-03-01,Low,-1.0261,51-60
CUST00014,Vikram,Verma,60,Female,Single,Master'S,Designer,390443.7475,75750.3325,512.0,4,2.0,Mumbai,Maharashtra,9603797467,aditya.sharma367@example.com,False,1,2018-07-18,Lower-Mid,-1.3281,51-60
CUST00015,Sachin,Patel,44,Female,Single,Bachelor'S,Engineer,63591.55,14184.67,609.0,4,36.0,Hyderabad,Telangana,9674558056,sachin.singh319@example.com,False,0,2016-08-15,Low,-1.6767,41-50
CUST00016,Pooja,Iyer,23,Male,Single,Master'S,Engineer,79469.1,13931.04,571.0,2,30.0,Hyderabad,Telangana,9108930425,rohan.verma598@example.com,True,7,2024-02-25,Low,-1.1036,21-30
CUST00017,Pooja,Pandey,42,Female,Married,Diploma,Nurse,60381.7,11724.12,870.0,2,10.0,Jaipur,Rajasthan,9838487369,swati.patel907@example.com,True,2,2018-04-30,Low,-1.33,41-50
CUST00018,Rekha,Malhotra,22,Female,Married,Master'S,Doctor,142832.12,30774.28,501.0,2,21.0,Lucknow,Uttar Pradesh,9628207587,rohan.dubey555@example.com,False,7,2024-05-22,Low,-1.5855,21-30
CUST00019,Naveen,Verma,44,Female,Single,High School,Manager,87763.28,17112.45,331.0,5,17.0,Bengaluru,Karnataka,9911182636,deepak.sharma795@example.com,False,1,2017-06-15,Low,-1.3398,41-50
CUST00020,Rohan,Gupta,64,Female,Married,Master'S,Consultant,55365.7,11223.52,742.0,3,34.0,Jaipur,Rajasthan,9612246868,sunita.gupta150@example.com,False,2,2020-08-09,Low,-1.4326,60+
CUST00021,Kavya,Rao,50,Male,Single,Master'S,Manager,146404.71,21107.05,461.0,4,5.0,Hyderabad,Telangana,9421704344,nisha.mehta151@example.com,False,0,2022-08-17,Low,-0.73,41-50
CUST00022,Sneha,Sharma,58,Male,Single,Master'S,Doctor,158734.69,38498.86,553.0,3,2.0,Jaipur,Rajasthan,9109806050,kiran.bhat481@example.com,False,5,2020-02-10,Low,-1.9104,51-60
CUST00023,Rohan,Joshi,22,Female,Single,High School,Professor,94833.14,14657.7,820.0,2,4.0,Kolkata,West Bengal,9922345794,divya.rao317@example.com,False,2,2016-08-26,Low,-0.8548,21-30
CUST00024,Arjun,Malhotra,41,Female,Married,Bachelor'S,Lawyer,66291.99,9412.94,779.0,4,8.0,Hyderabad,Telangana,9562176397,amit.kumar618@example.com,False,5,2021-09-29,Low,-0.7039,41-50
CUST00025,Vikram,Kumar,53,Male,Married,Bachelor'S,Consultant,367559.17,62057.36,309.0,1,27.0,Ahmedabad,Gujarat,9956808156,deepak.pillai352@example.com,True,4,2018-03-06,Lower-Mid,-1.026,51-60
CUST00026,Ananya,Mehta,32,Female,Single,Bachelor'S,Nurse,121059.88,15668.63,804.0,0,18.0,Lucknow,Uttar Pradesh,9414523258,vikram.bhat299@example.com,False,6,2016-08-20,Low,-0.5531,31-40
CUST00027,Divya,Patel,42,Male,Single,Bachelor'S,Teacher,45961.47,6727.85,859.0,0,27.0,Chennai,Tamil Nadu,9741027901,vikram.bhat378@example.com,False,7,2023-05-18,Low,-0.7566,41-50
CUST00028,Rohan,Pillai,64,Female,Divorced,Bachelor'S,Businessman,230596.4,32981.47,735.0,2,26.0,Bengaluru,Karnataka,9348265637,swati.singh994@example.com,False,3,2022-06-18,Low,-0.7163,60+
CUST00029,Sachin,Gupta,45,Male,Single,Master'S,Nurse,59073.35,12338.48,410.0,3,12.0,Delhi,Delhi,9955522471,suresh.patel9@example.com,False,0,2024-07-10,Low,-1.5064,41-50
CUST00030,Sachin,Malhotra,69,Male,Single,Phd,Designer,390443.7475,71950.94,452.0,1,37.0,Kolkata,West Bengal,9107750253,nisha.tiwari531@example.com,False,2,2023-12-27,Lower-Mid,-1.2114,60+
CUST00031,Naveen,Nair,47,Male,Divorced,Master'S,Designer,103548.43,14129.79,401.0,4,20.0,Pune,Maharashtra,9688638365,amit.dubey601@example.com,False,0,2024-04-13,Low,-0.6375,41-50
CUST00032,Priya,Malhotra,62,Male,Married,Bachelor'S,Engineer,181314.73,33298.91,490.0,3,26.0,Chennai,Tamil Nadu,9501197060,swati.mishra674@example.com,True,4,2022-11-19,Low,-1.2038,60+
CUST00033,Ananya,Mehta,48,Male,Married,Bachelor'S,Lawyer,28338.87,5838.91,862.0,2,5.0,Delhi,Delhi,9302476546,nisha.joshi695@example.com,True,5,2015-05-21,Low,-1.4725,41-50
CUST00034,Sachin,Pandey,36,Male,Married,Diploma,Manager,45684.55,8246.01,380.0,3,37.0,Hyderabad,Telangana,9542098017,meera.pillai149@example.com,False,3,2021-09-19,Low,-1.166,31-40
CUST00035,Naveen,Rao,35,Male,Single,Diploma,Designer,219765.37,31582.6,788.0,2,10.0,Pune,Maharashtra,9701890658,harish.dubey59@example.com,True,0,2018-08-04,Low,-0.7245,31-40
CUST00036,Lakshmi,Mehta,67,Female,Single,Phd,Doctor,119454.29,21065.71,387.0,5,16.0,Mumbai,Maharashtra,9569339388,pooja.dubey244@example.com,True,5,2018-06-19,Low,-1.1162,60+
CUST00037,Deepak,Kumar,64,Female,Married,Master'S,Designer,336192.05,48396.58,493.0,0,38.0,Mumbai,Maharashtra,9523861817,priya.tiwari520@example.com,False,4,2020-08-19,Lower-Mid,-0.7275,60+
CUST00038,Sachin,Patel,23,Male,Single,Bachelor'S,Professor,132072.34,29650.8,403.0,0,6.0,Kolkata,West Bengal,9368323917,amit.iyer839@example.com,False,4,2022-09-21,Low,-1.6941,21-30
CUST00039,Amit,Tiwari,57,Other,Married,Master'S,Lawyer,107707.85,14909.63,395.0,3,29.0,Mumbai,Maharashtra,9275309282,aditya.pandey856@example.com,False,4,2016-05-20,Low,-0.6611,51-60
CUST00040,Sachin,Reddy,27,Male,Divorced,Bachelor'S,Analyst,275996.76,55058.07,722.0,1,20.0,Pune,Maharashtra,9867658814,divya.rao573@example.com,True,7,2018-01-25,Low,-1.3939,21-30
CUST00041,Amit,Verma,41,Female,Widowed,Bachelor'S,Analyst,180969.21,36224.88,497.0,4,0.0,Pune,Maharashtra,9891474266,ravi.pandey880@example.com,True,6,2024-07-04,Low,-1.4021,41-50
CUST00042,Deepak,Singh,29,Female,Single,Master'S,Nurse,87749.66,13793.81,300.0,2,24.0,Lucknow,Uttar Pradesh,9793627337,kiran.pandey56@example.com,True,7,2022-12-03,Low,-0.8863,21-30
CUST00043,Swati,Shah,59,Male,Married,High School,Designer,102371.67,11961.81,597.0,4,20.0,Chennai,Tamil Nadu,9518462171,rohan.sharma433@example.com,False,5,2021-06-08,Low,-0.4022,51-60
CUST00044,Amit,Nair,38,Male,Married,High School,Manager,23790.24,5795.16,677.0,0,7.0,Bengaluru,Karnataka,9989516564,nisha.verma353@example.com,True,2,2020-05-13,Low,-1.9231,31-40
CUST00045,Naveen,Patel,24,Male,Divorced,Bachelor'S,Doctor,75917.36,15050.68,466.0,1,4.0,Ahmedabad,Gujarat,9506258874,rahul.shah201@example.com,False,1,2022-01-28,Low,-1.379,21-30
