customer_id,first_name,last_name,age,gender,marital_status,education_level,occupation,annual_income,monthly_expenses,credit_score,num_dependents,years_employed,city,state,phone_number,email,has_existing_loan,num_credit_cards,registration_date
CUST00001,Amit,Bhat,59,Male,Married,Master's,Engineer,53257.03,9643.85,736,4,36,Mumbai,Maharashtra,9358257050,sneha.mehta187@example.com,True,7,2021-04-02
CUST00002,Kavya,Malhotra,49,Male,Divorced,Bachelor's,Accountant,58378.05,7861.0,617,4,16,Bengaluru,Karnataka,9671111556,rahul.sharma134@example.com,False,1,2016-10-21
CUST00003,Lakshmi,Malhotra,35,Male,Married,Master's,Manager,143955.74,18518.28,549,3,18,Chennai,Tamil Nadu,9118247134,ananya.mehta608@example.com,False,4,2024-06-22
CUST00004,Lakshmi,Reddy,63,Male,Married,Bachelor's,Teacher,79664.34,12339.11,746,5,30,Hyderabad,Telangana,9134941234,suresh.pandey789@example.com,False,6,2024-05-29
CUST00005,Swati,Singh,28,Female,Single,Master's,Designer,272185.83,43552.81,796,2,18,Hyderabad,Telangana,9377130207,vikram.joshi393@example.com,False,2,2018-08-24
CUST00006,Sachin,Mehta,41,Male,Married,Bachelor's,Engineer,238132.61,34003.29,642,4,22,Delhi,Delhi,9846096988,sneha.iyer830@example.com,True,5,2016-05-01
CUST00007,Sneha,Dubey,59,Female,Single,Diploma,Doctor,269471.81,37803.76,726,2,34,Mumbai,Maharashtra,9352743433,rohan.gupta894@example.com,True,0,2018-08-03
CUST00008,Aditya,Bhat,39,Male,Single,Bachelor's,Designer,56959.3,11715.83,539,1,13,Jaipur,Rajasthan,9541516775,amit.shah777@example.com,False,7,2024-12-14
CUST00009,Rahul,Joshi,43,Male,Single,High School,Nurse,132526.08,22332.3,358,2,0,Mumbai,Maharashtra,9374165113,ananya.sharma869@example.com,False,2,2016-09-14
CUST00010,Arjun,Nair,31,Male,Married,Bachelor's,,,12802.55,,3,,Lucknow,Uttar Pradesh,9571346598,meera.reddy857@example.com,False,5,2023-11-27
CUST00011,Sachin,Rao,31,Male,Married,PhD,Engineer,120177.26,15475.06,502,1,35,Kolkata,West Bengal,9490941054,meera.joshi418@example.com,True,1,2024-04-27
CUST00012,Aditya,Verma,44,Female,Single,PhD,Doctor,60878.28,13689.55,765,2,0,Bengaluru,Karnataka,9657145122,rohan.nair337@example.com,False,1,2020-08-30
CUST00013,Swati,Rao,56,Male,Single,Bachelor's,Doctor,206012.85,26500.64,595,3,19,Bengaluru,Karnataka,9434149462,suresh.tiwari107@example.com,True,6,2020-10-05
CUST00014,Amit,Reddy,60,Female,Married,Master's,Businessman,61564.52,9787.09,586,5,21,Mumbai,Maharashtra,9543772357,arjun.pandey312@example.com,True,4,2015-04-18
