loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken,loan_duration_years,total_repayment,total_interest_paid,default_flag,ltv_ratio,risk_category,first_name,last_name,age,gender,marital_status,education_level,occupation,annual_income,monthly_expenses,credit_score,num_dependents,years_employed,city,state,phone_number,email,has_existing_loan,num_credit_cards,registration_date,income_tier,savings_ratio,age_group,emi_to_income_ratio,loan_to_income_ratio,repayment_progress_pct,remaining_balance_pct
LOAN000001,CUST00389,Education,Unsecured,105783.46,17.27,180,1648.3,2023-08-25,2038-06-07,Monthly,Active,171,21521.97,161492.5,12.0,10616.08,LO145,BR27,True,15.0,296694.0,190910.54,False,0.655,Medium,Vikram,Verma,62,Female,Single,Phd,Nurse,171095.49,23726.81,711.0,1,23.0,Bengaluru,Karnataka,9824230874,arjun.sharma740@example.com,False,7,2018-09-28,Low,-0.6641,60+,0.1156,0.6183,95.0,0.2035
LOAN000002,CUST00416,Home,Unsecured,280562.01,18.78,36,10253.11,2019-02-18,2022-02-02,Monthly,Active,153,253555.66,169795.59,18.0,34662.85,LO171,BR30,True,3.0,369111.96,88549.95,False,1.6524,Medium,Deepak,Malhotra,43,Female,Married,Master'S,Consultant,197086.81,36232.32,568.0,0,18.0,Ahmedabad,Gujarat,9987077148,amit.singh756@example.com,False,2,2018-11-30,Low,-1.2061,41-50,0.6243,1.4235,425.0,0.9037
LOAN000003,CUST00784,Education,Secured,154639.45,9.45,48,3881.34,2023-08-19,2027-07-29,Monthly,Active,99,116680.88,304876.65,4.0,41293.17,LO164,BR33,True,4.0,186304.32,31664.87,False,0.5072,Low,Ravi,Mehta,51,Male,Married,Master'S,Analyst,151516.78,36940.15,727.0,1,39.0,Hyderabad,Telangana,9672263097,amit.pandey332@example.com,False,5,2020-05-16,Low,-1.9256,51-60,0.3074,1.0206,206.25,0.7545
LOAN000004,CUST01007,Personal,Unsecured,1408858.46,17.84,48,42831.4725,2019-09-08,2023-08-18,Monthly,Active,237,754642.8625,1522081.7899999998,14.0,40369.98,LO109,BR50,True,4.0,2055910.68,647052.22,False,0.9256,Medium,Ravi,Verma,40,Male,Married,High School,Businessman,175887.76,30168.0,829.0,4,17.0,Ahmedabad,Gujarat,9683579921,ananya.pillai778@example.com,False,1,2018-12-27,Low,-1.0582,31-40,2.9222,8.01,493.75,0.5356
LOAN000005,CUST01174,Personal,Unsecured,236442.08,21.31,60,6437.85,2018-04-08,2023-03-13,Quarterly,Active,106,224602.24,244263.26,3.0,39253.4,LO146,BR16,False,5.0,386271.0,149828.92,False,0.968,Low,Deepak,Shah,31,Male,Single,Bachelor'S,Consultant,31110.7,4943.62,829.0,2,9.0,Mumbai,Maharashtra,9877814971,lakshmi.rao716@example.com,True,4,2024-11-30,Low,-0.9069,31-40,2.4832,7.6,176.67,0.9499
LOAN000006,CUST01015,Vehicle,Unsecured,446845.06,20.56,36,16734.14,2022-04-15,2025-03-30,Bi-Annual,Closed,89,127080.2,32454.12,3.0,6489.99,LO183,BR50,True,3.0,602429.04,155583.98,False,13.7685,Low,Deepak,Dubey,58,Female,Divorced,High School,Professor,72760.38,11214.87,502.0,2,39.0,Ahmedabad,Gujarat,9808101187,rahul.rao745@example.com,True,7,2022-05-16,Low,-0.8496,51-60,2.7599,6.1413,247.22,0.2844
LOAN000007,CUST00428,Home,Secured,1047496.54,18.74,240,16765.08,2023-05-08,2043-01-23,Monthly,Active,107,85014.2,1522081.7899999998,17.0,19861.88,LO161,BR50,False,20.0,4023619.2,2976122.66,False,0.6882,Medium,Meera,Tiwari,62,Female,Married,High School,Professor,123629.34,26074.35,550.0,0,16.0,Chennai,Tamil Nadu,9372826122,swati.joshi771@example.com,True,5,2023-06-07,Low,-1.5309,60+,1.6273,8.4729,44.58,0.0812
LOAN000008,CUST01005,Personal,Unsecured,111591.55,17.54,48,3251.24,2018-06-03,2022-05-13,Monthly,Active,129,92190.09,38885.96,18.0,49237.23,LO177,BR30,False,4.0,156059.52,44467.97,False,2.8697,Medium,Lakshmi,Mehta,26,Female,Married,Master'S,Designer,102371.67,7233.69,597.0,0,20.0,Ahmedabad,Gujarat,9634323575,nisha.nair875@example.com,False,5,2015-02-12,Low,0.1521,21-30,0.3811,1.0901,268.75,0.8261
LOAN000009,CUST01317,Education,Unsecured,43313.35,10.14,48,1101.45,2021-04-03,2025-03-13,Quarterly,Active,42,43244.78,46634.67,19.0,49444.38,LO129,BR42,False,4.0,52869.6,9556.25,False,0.9288,Medium,Kiran,Nair,23,Male,Single,Master'S,Doctor,117599.28,19351.83,640.0,5,22.0,Kolkata,West Bengal,9397050178,sneha.singh703@example.com,True,6,2017-09-20,Low,-0.9747,21-30,0.1124,0.3683,87.5,0.9984
LOAN000010,CUST00334,Travel,Unsecured,397126.84,16.33,84,7962.58,2019-10-23,2026-09-16,Monthly,Active,236,229711.05,314266.02,8.0,30121.37,LO157,BR44,True,7.0,668856.72,271729.88,False,1.2637,Medium,Swati,Malhotra,58,Female,Married,Bachelor'S,Professor,97141.45,12507.7,351.0,2,34.0,Hyderabad,Telangana,9114051099,nisha.iyer257@example.com,False,7,2017-11-10,Low,-0.5451,51-60,0.9836,4.0881,280.95,0.5784
